slug,name,production_state,listing_category,exam_streams,course_groups,education_levels,exam_filter_version,logo_action,current_logo
"himachal-pradesh-polytechnic-admission-test","Himachal Pradesh Polytechnic Admission Test","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","10th","1","official_source_reviewed","/exam-logos/official-v1/0ee415300fdccddcf768a8c7.webp"
"hpu-mat","Himachal Pradesh University Management Aptitude Test","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/b05a19230531fd4046d60f4e.webp"
"hitseee","HITSEEE","active","Entrance","Engineering | Science | Architecture","B.E. / B.Tech | B.Des | B.Arch","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/cf30a007fad4edc0f880a99a.webp"
"ap-horticet","HORTICET","active","Entrance","Agriculture","Diploma/Polytechnic | Agriculture","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/38de076598f25781c79433e4.webp"
"hp-leet","HP LEET","active","Entrance","Engineering","Diploma/Polytechnic","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/0ee415300fdccddcf768a8c7.webp"
"hp-pat","HP PAT","active","Entrance","Engineering | Medical | Pharmacy","B.E. / B.Tech | Diploma/Polytechnic","10th","1","official_source_reviewed","/exam-logos/official-v1/0ee415300fdccddcf768a8c7.webp"
"hp-set","HP SET","active","Entrance","Education","Multiple Courses","PG","1","unresolved",""
"hpcet","HPCET","active","Entrance","Engineering | Medical | Pharmacy | Management | IT and Software","B.E. / B.Tech | MBA/PGDM | MCA","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/e379e733fb7f4dbf9b5d063c.webp"
"hpsc-hcs","HPSC HCS","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6fa60278d81105e4e2e6a66b.webp"
"hssc-cet","HSSC CET","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/c5dff0f2ae667bf105fc7e86.webp"
"ib-acio-executive","IB ACIO-II/Executive","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/50a836c0ddeee59b69a2c75f.webp"
"ibps-csa","IBPS CSA","active","Sarkari","Arts | Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/726bb8d844cfe9fb83a01aa8.webp"
"ibps-po","IBPS PO/MT XVI","active","Sarkari","Management | Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/726bb8d844cfe9fb83a01aa8.webp"
"ibps-cwe-rrb","IBPS Regional Rural Banks Common Written Test","active","Sarkari","Arts | Banking | Railways | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/726bb8d844cfe9fb83a01aa8.webp"
"ibps-rrb-office-assistant","IBPS RRB Office Assistant","active","Sarkari","Arts | Banking | Railways | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/726bb8d844cfe9fb83a01aa8.webp"
"ibps-rrb-officer-scale-i","IBPS RRB Officer Scale I","active","Sarkari","Banking | Railways | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/726bb8d844cfe9fb83a01aa8.webp"
"ibps-so","IBPS Specialist Officer XVI","active","Sarkari","Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/726bb8d844cfe9fb83a01aa8.webp"
"ibsat","IBSAT","active","Entrance","Management | Arts","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/e376f8e4b81b2c6d7f1c6df4.webp"
"icai-intt-at","ICAI INTT-AT","active","Entrance","General","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/649fbabed304fc3696925969.webp"
"icar-aice-jrf-srf-phd","ICAR AICE JRF/SRF PhD","active","Entrance","Science | Agriculture","Ph.D. | Agriculture","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"icar-aieea-pg","ICAR AIEEA PG","active","Entrance","Agriculture","Agriculture","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"icmai-cat-part-i","ICMAI CAT Part I","active","Entrance","Management","MBA/PGDM","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/b36767e465c7eb57d33a23b5.webp"
"ignou-bed-entrance","IGNOU B.Ed Entrance","active","Entrance","Education","B.Ed","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/4fbb89660ef3569c6dd16fa9.webp"
"ignou-openmat-entrance-exam","IGNOU OPENMAT Entrance Exam","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/4fbb89660ef3569c6dd16fa9.webp"
"iiith-leee","IIIT Hyderabad LEEE","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3063ea03ccbe3497cb843f86.webp"
"iiith-pgee","IIIT Hyderabad PGEE","active","Entrance","Medical | Science","M.E./M.Tech | MD/MS | Ph.D.","PG","1","official_source_reviewed","/exam-logos/official-v1/3063ea03ccbe3497cb843f86.webp"
"iiith-ugee","IIIT Hyderabad UGEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/3063ea03ccbe3497cb843f86.webp"
"ipmat-rohtak","IIM Rohtak IPM AT","active","Entrance","Management","Multiple Courses","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/4d0d046c1b9674a2d620a206.webp"
"iiser-iat","IISER IAT","active","Entrance","Medical | Science","B.E. / B.Tech | MD/MS","UG | PG | 12th","1","unresolved",""
"iit-jam","IIT JAM","active","Entrance","Science","M.Sc.","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/71/71ebd95df6ee76ae6db4c6f3ab69f1c9e89067d6775250659ca8fd24fd6ee035.webp"
"imu-cet","IMU CET","active","Entrance","Engineering | Medical | Management","B.E. / B.Tech | M.E./M.Tech | MBA/PGDM | B.Sc.","UG | PG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/67/674713e5cfe3e1b4bd70c3713a06a143022316eb8502e17525df31cf66ada625.webp"
"indian-army-agniveer-cee","Indian Army Agniveer CEE","active","Sarkari","Medical | Education | Defence | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/e4bf5aef8311fbf81a48150f.webp"
"icar-aieea","Indian Council of Agricultural Research All India Entrance Examination for Admission","active","Entrance","Science | Agriculture","Agriculture","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"iiad","Indian Institute of Art and Design","active","Entrance","Design","M.Des","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c52c82f0c9c7d5feda7cccee.webp"
"iift","Indian Institute of Foreign Trade","active","Entrance","Management","MBA/PGDM","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/62/62bb282338b8014c395b4c27de416f81c8d0fb7d2ef5baa23b67f433e5130e6f.webp"
"iimc-entrance-exam","Indian Institute of Mass Communication's Entrance Exam","active","Entrance","Arts","Multiple Courses","UG | PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/3a/3a0e5f1d043d26ef030a39a78426f359979b9e7ee7d272a9946c56a4e2e4db20.webp"
"imucet","Indian Maritime University Common Entrance Test","active","Entrance","Engineering | Medical | Management | Science","B.E. / B.Tech | M.E./M.Tech | MBA/PGDM | BBA/BMS","UG | PG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/67/674713e5cfe3e1b4bd70c3713a06a143022316eb8502e17525df31cf66ada625.webp"
"indian-navy-agniveer-mr","Indian Navy Agniveer MR","active","Sarkari","Medical | Defence | Government","Government Recruitment","10th","1","official_source_reviewed","/exam-logos/official-v1/9d2997cae7ea437ade4cf1d1.webp"
"indian-navy-agniveer-ssr","Indian Navy Agniveer SSR","active","Sarkari","Medical | Defence | Government","Government Recruitment","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9d2997cae7ea437ade4cf1d1.webp"
"indira-gandhi-rashtriya-uran-akademi-igrua","Indira Gandhi Rashtriya Uran Akademi (IGRUA)","active","Entrance","Engineering | Medical | Aviation | Education","B.E. / B.Tech","UG | PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/89/891d270ac954d1882bc6a5a066ca22cfe36da29ad87fb5ede7f274e588b6acd6.webp"
"iilet","Indore Institute of Law Entrance Test","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0fb2a208f5b642d5737df44b.webp"
"indraprastha-university-common-entrance-test","Indraprastha University Common Entrance Test","active","Entrance","Medical | Law","LL.B.","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/e4/e462e45b84168ddd4b1d3373287b12e25dca0642d9d53f06c522b9b333ddf38f.webp"
"iticat","Industrial Training Institute Competetive Admission Test","active","Entrance","General","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/5381dd9ddc7a01c8b0667fef.webp"
"ini-cet","INI-CET","active","Entrance","Medical","MD/MS","PG","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"ini-ss","INI-SS","active","Entrance","Medical","MD/MS","PG","1","official_source_reviewed","/exam-logos/official-v1/f9b12d45fa2829cd8282bff2.webp"
"iemjee","Insitute of Engineering and Management Joint Entrance Exam","active","Entrance","Engineering | Management","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/27c462899ec54684301d394d.webp"
"institute-of-banking-personnel-selection-clerk","Institute of Banking Personnel Selection-Clerk","active","Sarkari","Arts | Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/726bb8d844cfe9fb83a01aa8.webp"
"itm-nest","Institute of Technology and Management National Entrance and Scholarship Test","active","Entrance","Management","B.E. / B.Tech","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/a2302e7416cb3afad77c648c.webp"
"ipmat","IPMAT","active","Entrance","Management","MBA/PGDM","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/9676ad0d2eaa3dbc6ac2e5f1.webp"
"ipmat-indore","IPMAT Indore","active","Entrance","Management","Multiple Courses","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/9676ad0d2eaa3dbc6ac2e5f1.webp"
"ipu-cet","IPU CET","active","Entrance","General","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/793b36b0759fbee98705a258.webp"
"irmasat","IRMA Social Awareness Test","active","Entrance","Management","MBA/PGDM","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/f66158f9da255070005b8da1.webp"
