slug,name,production_state,listing_category,exam_streams,course_groups,education_levels,exam_filter_version,logo_action,current_logo
"keam","KEAM","active","Entrance","Engineering | Medical | Architecture","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0f8f26e1cb8c2bb94a84bbf7.webp"
"kerala-kas","Kerala KAS","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/33c24ed9f93018c92574e17d.webp"
"klee","Kerala Law Entrance Exam","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0f8f26e1cb8c2bb94a84bbf7.webp"
"kerala-llm","Kerala LL.M Entrance","active","Entrance","Law","Law PG","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0f8f26e1cb8c2bb94a84bbf7.webp"
"kerala-pg-nursing","Kerala PG Nursing Entrance","active","Entrance","Nursing","B.Sc. | M.Sc. | Nursing","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0f8f26e1cb8c2bb94a84bbf7.webp"
"kerala-set","Kerala SET","active","Entrance","Education","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/79fd28c0292ee803300b49eb.webp"
"kiitee","KIITEE","active","Entrance","Engineering | Medical","B.E. / B.Tech","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/f7/f74193858641247900e3a3879e9ee63c526714903f3e374e744b759304e1081a.webp"
"kvpy","Kishore Vaigyanik Protsahan Yojana","active","Entrance","Medical | Science","B.E. / B.Tech | B.Sc.","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/9960d280babaa575563474a0.webp"
"klee-3-year-llb","KLEE 3-Year LL.B.","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0f8f26e1cb8c2bb94a84bbf7.webp"
"klee-5-year-llb","KLEE 5-Year LL.B.","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0f8f26e1cb8c2bb94a84bbf7.webp"
"kleee","KLEEE","active","Entrance","Engineering","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/76e664dc476dcad3b33206f4.webp"
"kmat-karnataka","KMAT Karnataka","active","Entrance","Management | IT and Software","MBA/PGDM | MCA","PG","1","official_source_reviewed","/exam-logos/official-v1/20200f0837fbdedb999b97a4.webp"
"kmat-kerala","KMAT Kerala","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/0f8f26e1cb8c2bb94a84bbf7.webp"
"kpsc-kas","KPSC KAS","active","Sarkari","Arts | Government","Government Recruitment","UG | 12th | 10th","1","unresolved",""
"ks-dat","KS-DAT","active","Entrance","Design","B.Des","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79fd28c0292ee803300b49eb.webp"
"kset","KSET","active","Entrance","Education","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/6c147de399c18b27191d67bd.webp"
"kuat-entrance-exam","KUAT Entrance Exam","active","Entrance","Management","Multiple Courses","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/ac513f8f3dec0b069902c44d.webp"
"law-faculty-admission-test","Law Faculty Admission Test","active","Entrance","Law | Arts | Education | Banking","B.E. / B.Tech | LL.B.","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/74/74cf14db114badb83b75fe4c2af9d880d5dea82fdae3de638960bfd934f83c62.webp"
"lsat","Law School Admission Test","active","Entrance","Law","LL.B.","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/fc40a6f1e7f5e49b5c25156a.webp"
"lic-aao","LIC AAO","active","Sarkari","Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/aa60838c1fef267390c23aff.webp"
"lpunest","LPUNEST","active","Entrance","General","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/83ffd6cbec4c0bbe93b916ce.webp"
"lucknow-university-enterence-exam","LUCKNOW UNIVERSITY ENTERENCE EXAM","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/00664c4b2390af69f516e0a1.webp"
"madhya-pradesh-pre-polytechnic-test","Madhya Pradesh Pre Polytechnic Test","active","Entrance","Engineering | Science","B.E. / B.Tech | Diploma/Polytechnic","UG | 12th | 10th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/6c/6c3ab5a21fc4e53c4f6f8138d459a39d20730b8f84e9aa4924def8565c95bbba.webp"
"madhya-pradesh-public-service-commission","Madhya Pradesh Public Service Commission","active","Sarkari","Arts | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/170bfba1cf929b63da1182ab.webp"
"mah-aac-cet","MAH AAC CET","active","Entrance","Design | Arts","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-bdesign-cet","MAH B.Design CET","active","Entrance","Design","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-bed-cet","MAH B.Ed CET","active","Entrance","Education","B.Ed","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-bed-med-integrated-cet","MAH B.Ed-M.Ed Integrated CET","active","Entrance","Education","B.Ed | M.Ed","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-bped-cet","MAH B.P.Ed CET","active","Entrance","Education","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-bba-bca-bms-bbm-cet","MAH BBA/BCA/BMS/BBM CET","active","Entrance","Management | IT and Software","BBA/BMS | BCA","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-llb-3-year-cet","MAH LL.B. 3-Year CET","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-llb-5-year-cet","MAH LL.B. 5-Year CET","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-med-cet","MAH M.Ed CET","active","Entrance","Education","B.Ed | M.Ed","PG","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-mhmct-cet","MAH M.HMCT CET","active","Entrance","Management | Hotel Management","Multiple Courses","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-mped-cet","MAH M.P.Ed CET","active","Entrance","Education","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-mba-mms-cet","MAH MBA/MMS CET","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-mca-cet","MAH MCA CET","active","Entrance","Science | IT and Software","MCA","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mah-b-hmct-cet","Maharashtra Bachelor of Hotel Management and Catering Technology Common Entrance Test","active","Entrance","Management | Hotel Management","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"maharashtra-common-entrance-test","Maharashtra Common Entrance Test","active","Entrance","Engineering | Medical | Pharmacy | Agriculture","B.E. / B.Tech | Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/ff8c39332384bba34a1cd05a.webp"
"mah-mba-cet","Maharashtra Common Entrance Test for MBA/MMS","active","Entrance","Management","MBA/PGDM","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mcaer-pgcat","Maharashtra Council of Agriculture Education and Research Post-Graduate Common Entrance Test","active","Entrance","Science | Education | Agriculture","Agriculture","PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/ca/ca5ec08311e330e70382cd2c6c97e7a06a31d1f0d993ef5fc931066dec811e8d.webp"
"mdu-cee","Maharshi Dayanand University Common Entrance Exam","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c134ec5ffe3a3f197336f784.webp"
"mrnat","Manav Rachna National Aptitude Test","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/efe58c982db681c565a4ba20.webp"
"mu-oet","Manipal University Online Entrance Test","active","Entrance","General","B.E. / B.Tech","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/c0a66fdc484286c11e3091f2.webp"
"mat","MAT","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/8b2c277b0c1419494158d6da.webp"
"met","MET","active","Entrance","Engineering | Science","B.E. / B.Tech | M.E./M.Tech","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c0a66fdc484286c11e3091f2.webp"
"mh-nursing-cet","MH Nursing CET","active","Entrance","Medical | Nursing | Science","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"mh-set","MH-SET","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/1572a3e8da792004fdd8b3c6.webp"
"mht-cet","MHT CET","active","Entrance","Engineering | Medical | Pharmacy","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/87259f471cf3e25a8bf0251f.webp"
"micat","MICAT","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/2bb6c23c0b78a31b939927bc.webp"
"mitid-dat","MITID DAT","active","Entrance","Design","B.Des | M.Des","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/53db38aed564bd48f5d5afc2.webp"
"mp-addet","MP ADDET","active","Entrance","Science","Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c5f14969a77bf2db06608175.webp"
"mp-pat","MP PAT","active","Entrance","Agriculture","Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c5f14969a77bf2db06608175.webp"
"mp-pnst","MP PNST","active","Entrance","Nursing | Science","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c5f14969a77bf2db06608175.webp"
"mp-set","MP SET","active","Entrance","Education","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/170bfba1cf929b63da1182ab.webp"
"mppsc-state-service","MPPSC State Service Examination","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/170bfba1cf929b63da1182ab.webp"
"mpsc-civil-services","MPSC Civil Services","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/bced53246c38baa9e5c17933.webp"
"mucmet","Mumbai University Common Management Entrance Test","active","Entrance","Management","MBA/PGDM","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9d931a9aa11114f91f9d245a.webp"
"nabard-development-assistant","NABARD Development Assistant","active","Sarkari","Arts | Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/e970cd42d3715e4371e0c11b.webp"
"nabard-grade-a","NABARD Grade A","active","Sarkari","Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/4823ba6f22e02f71b8887848.webp"
"nata","NATA","active","Entrance","Architecture","B.E. / B.Tech | B.Arch","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/2f839b4a216ade2bcb03f0af.webp"
"nchmct-jee","National Council for Hotel Management and Catering Technology Joint Entrance Examination","active","Entrance","Engineering | Management | Hotel Management","B.E. / B.Tech | B.Sc.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"uspc-nda-and-na","National Defence Academy and Naval Academy Examination","active","Sarkari","Medical | Aviation | Defence | Government","Government Recruitment","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6694825c2f3792caa3545f02.webp"
"nhtet","National Hospitality Teachers Eligibility Test","active","Entrance","Hotel Management | Education","Diploma/Polytechnic","UG | PG","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/85/858a66501787fecab78945f7c1d4c2701fbd9828fd7b057b84788d5d4d0cf3b0.webp"
"nrti-aat","National Rail and Transportation Institute","active","Entrance","General","Multiple Courses","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/b5fda207e712709cb1214e2d.webp"
"national-talent-search-examination","National Talent Search Examination","active","Entrance","Education","B.E. / B.Tech","10th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/e1/e162495b5537c2bf3a2e5c06398dc1f4d86ef18840552010095ff6eadf88cf5a.webp"
"ncet","NCET","active","Entrance","Arts | Education","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"nchm-jee","NCHM JEE","active","Entrance","Engineering | Management | Hotel Management","B.E. / B.Tech | B.Sc.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"neet-mds","NEET MDS","active","Entrance","Medical","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/32397b7a8d5ea2f2b9c04e3f.webp"
"neet-pg","NEET PG","active","Entrance","Medical","MD/MS","PG","1","official_source_reviewed","/exam-logos/official-v1/32397b7a8d5ea2f2b9c04e3f.webp"
"neet-ss","NEET SS","active","Entrance","Medical","MD/MS","PG","1","official_source_reviewed","/exam-logos/official-v1/32397b7a8d5ea2f2b9c04e3f.webp"
"national-eligibility-cum-entrance-test-neet","NEET UG","active","Entrance","Medical","MBBS","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"nest","NEST","active","Entrance","Science","M.Sc.","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/faac8a49c5631386eaa66f27.webp"
"nid-dat","NID DAT","active","Entrance","Design","B.Des | M.Des","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/5adbdbe59f2b2594ec02b158.webp"
"nift-entrance","NIFT Entrance","active","Entrance","Design","B.Des | M.Des","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/20b435c02c9c013ff2507548.webp"
"nift-ee","NIFT Entrance Exam","active","Entrance","Design","B.Des | M.Des","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/20b435c02c9c013ff2507548.webp"
"niftee","NIFTEE","active","Entrance","Design | Science","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"nimcet","NIMCET","active","Entrance","Science | IT and Software","MCA","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/8b3f84e1a26ffb08d6650bb7.webp"
"niper-jee","NIPER JEE","active","Entrance","Engineering | Medical | Pharmacy | Management | Science | Education","B.E. / B.Tech | MBA/PGDM | Ph.D.","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/93245567ff67f13f7687ea47.webp"
"nmat","NMAT by GMAC","active","Entrance","Management","B.E. / B.Tech | MBA/PGDM","PG","1","unresolved",""
"nmims-cet","NMIMS CET","active","Entrance","Engineering | Medical | Pharmacy","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0b433c3fea2d61c61ee1b09b.webp"
"nmims-nlat","NMIMS NLAT","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0b433c3fea2d61c61ee1b09b.webp"
"nmims-npat","NMIMS NPAT","active","Entrance","Management","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/0b433c3fea2d61c61ee1b09b.webp"
"ntet","NTET","active","Entrance","Medical | Education","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/79ccf53f16e85a28a9b90286.webp"
"odisha-bed-entrance","Odisha B.Ed Entrance","active","Entrance","Education","B.Ed","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c04749d4da081e4b2340a484.webp"
"odisha-bhed-entrance","Odisha B.H.Ed Entrance","active","Entrance","Arts | Education","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c04749d4da081e4b2340a484.webp"
"odisha-cpet","Odisha CPET","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/c04749d4da081e4b2340a484.webp"
"odisha-med-entrance","Odisha M.Ed Entrance","active","Entrance","Education","B.Ed | M.Ed","PG","1","official_source_reviewed","/exam-logos/official-v1/c04749d4da081e4b2340a484.webp"
"odisha-public-service-commission-civil-service","Odisha Public Service Commission Civil Service","active","Sarkari","Arts | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/dae0296d0adda2d5f613b045.webp"
"ojee","OJEE","active","Entrance","General","Multiple Courses","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/03558cf7fddd4aa7235282d1.webp"
"opsc-ocs","OPSC OCS","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/dae0296d0adda2d5f613b045.webp"
"ouat-entrance","OUAT Entrance Examination","active","Entrance","Agriculture","Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/cf950c4c4ebc1dea33428cb5.webp"
"pafee","PAF Entrance Exam","active","Entrance","Design","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/9f550914bc23dbd49a29edd5.webp"
"puthat","Panjab University Tourism & Hospitality Aptitude Test","active","Entrance","Management | Hotel Management","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6dd53d89acb4e870013a8fc8.webp"
"patna-university-cet","Patna University Common Entrance Test","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f11575d4205a8ef066d290ff.webp"
"pau-aat","PAU AAT","active","Entrance","Agriculture","Agriculture","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/cc895bb575eda24b44027525.webp"
"pau-cet","PAU CET","active","Entrance","Science | Agriculture","Agriculture","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/cc895bb575eda24b44027525.webp"
"pearl-academy-entrance","Pearl Academy Entrance Exam","active","Entrance","Design","M.Des","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/70ba0798c5b803256d261efa.webp"
"pearson-test-of-english","Pearson Test of English","active","Study Abroad","IT and Software","Multiple Courses","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/ce/cee6191e8e8ab150132c531e25eece9534619179e973f69ac577495024ba6a66.webp"
"pessat","Peoples Education Society Scholastic Aptitude Test","active","Entrance","Engineering | Management | Education","B.E. / B.Tech","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/fe73d84ac78e1003deb4d679.webp"
"pim-mat","PIM-MAT","active","Entrance","Management","MBA/PGDM","PG","1","official_source_reviewed","/exam-logos/official-v1/3d5a648faae1a5b799453241.webp"
"pmnet","PMNET","active","Entrance","Nursing | Science","B.Sc. | M.Sc. | Nursing","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/70c9ee47d7d51882a38b3bcf.webp"
"jharkhand-pcece","Polytechnic Entrance Competitive Examination","active","Entrance","Engineering","Diploma/Polytechnic","10th","1","official_source_reviewed","/exam-logos/official-v1/342cf40b5b4ddfabc74b2d1c.webp"
"ppbnet","PPBNET","active","Entrance","Nursing","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/70c9ee47d7d51882a38b3bcf.webp"
"ppmet","PPMET","active","Entrance","Medical | Nursing | Science","B.Sc. | Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/09c7a106b66b500519c36ebb.webp"
"presidency-university-master-degree-entrance-test","Presidency University Master Degree Entrance Test","active","Entrance","General","M.Sc.","PG","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"pu-cet-pg","PU CET (PG)","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/6dd53d89acb4e870013a8fc8.webp"
"pu-cet-ug","PU CET (UG)","active","Entrance","Medical | Pharmacy | Science","B.Pharm | B.Sc.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6dd53d89acb4e870013a8fc8.webp"
"pu-pglaw","PU LL.B. Entrance","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6dd53d89acb4e870013a8fc8.webp"
"pu-met","PU MET","active","Entrance","Management","MBA/PGDM","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6dd53d89acb4e870013a8fc8.webp"
"pu-uglaw","PU UGLAW","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6dd53d89acb4e870013a8fc8.webp"
"pubdet","PUBDET","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"puleet","PULEET","active","Entrance","Engineering","B.E. / B.Tech | Diploma/Polytechnic","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/6dd53d89acb4e870013a8fc8.webp"
"pumdet","PUMDET","active","Entrance","General","Multiple Courses","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/79bea5608067e790c3a8d0f3.webp"
"punjab-bed-cet","Punjab B.Ed CET","active","Entrance","Education","B.Ed","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/eb4227a7c957855d88c98e34.webp"
"rajasthan-jet","Rajasthan JET","active","Entrance","Science | Agriculture","Ph.D. | Agriculture","UG | PG | 12th","1","official_source_reviewed","/exam-logos/official-v1/10b96bfafe1bf64fe5afc660.webp"
"rajasthan-pre-deled","Rajasthan Pre D.El.Ed","active","Entrance","Arts | Education","D.El.Ed | Diploma/Polytechnic","12th","1","unresolved",""
"rajasthan-ptet","Rajasthan PTET","active","Entrance","Education","B.Ed","UG | PG","1","official_source_reviewed","/exam-logos/official-v1/9b80b7f7eab4eaf104dd6cbc.webp"
"rajasthan-set","Rajasthan SET","active","Entrance","Education","Multiple Courses","PG","1","unresolved",""
"rulet-exam","Rajasthan University Law Entrance Test","active","Entrance","Law","LL.B.","UG | 12th","1","existing_catalog_mark","https://aws-origin.dekhocampus.com/storage/v1/object/public/legacy-public-assets/sanitized/bottom-12-v1/4a/4a5c350ef7de6b403e3e9797682b18676896caa584a235f1e23ecfd06ca33aa3.webp"
"rupgcet","Rayalaseema University Postgraduate Common Entrance Test","active","Entrance","General","Multiple Courses","PG","1","official_source_reviewed","/exam-logos/official-v1/233119f801f4f550d3f92493.webp"
"rbi-assistant","RBI Assistant","active","Sarkari","Arts | Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/2b27db18dbb31a0dc0a92c34.webp"
"rbi-grade-b-depr","RBI Grade B DEPR","active","Sarkari","Science | Banking | Government","Government Recruitment","PG","1","official_source_reviewed","/exam-logos/official-v1/2b27db18dbb31a0dc0a92c34.webp"
"rbi-grade-b-dsim","RBI Grade B DSIM","active","Sarkari","Management | Science | Banking | Government","Government Recruitment","PG","1","official_source_reviewed","/exam-logos/official-v1/2b27db18dbb31a0dc0a92c34.webp"
"rbi-grade-b-general","RBI Grade B General","active","Sarkari","Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/2b27db18dbb31a0dc0a92c34.webp"
"reva-cet","REVA CET","active","Entrance","General","Multiple Courses","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/c96f1f8539aa62bb3518a97e.webp"
"rpf-constable","RPF Constable","active","Sarkari","Medical | Education | Railways | Government","Government Recruitment","10th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"rpf-si","RPF Sub-Inspector","active","Sarkari","Medical | Railways | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"rpsc-ras","RPSC RAS","active","Sarkari","Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/58bb50101238a8c928bb1275.webp"
"rrb-alp","RRB ALP","active","Sarkari","Medical | Aviation | Railways | Government","Diploma/Polytechnic | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"rrb-group-d-level-1","RRB Group D Level 1","active","Sarkari","Medical | Railways | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"rrb-je","RRB JE","active","Sarkari","Engineering | Railways | Government","B.E. / B.Tech | Diploma/Polytechnic | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"rrb-ntpc-graduate","RRB NTPC Graduate","active","Sarkari","Railways | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"rrb-ntpc-undergraduate","RRB NTPC Undergraduate","active","Sarkari","Railways | Government","Government Recruitment","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"rrb-paramedical","RRB Paramedical","active","Sarkari","Medical | Pharmacy | Nursing | Railways | Government","Nursing | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"rrb-technician","RRB Technician","active","Sarkari","Railways | Government","Diploma/Polytechnic | Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/63174eb18aaca4d4b136730e.webp"
"ruhs-cuet","RUHS CUET","active","Entrance","Medical | Nursing | Science","Nursing","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/7b6604e959f69d69cdb25108.webp"
"rulet","RULET","active","Entrance","Law","LL.B.","UG | 12th","1","official_source_reviewed","/exam-logos/official-v1/f1bff05a145ae3eb3eddd7bc.webp"
"saeee","SAEEE","active","Entrance","Engineering | Architecture","B.E. / B.Tech | B.Arch","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/6c7b47ab62266c3cdbd38201.webp"
"sbi-clerk","SBI Clerk","active","Sarkari","Arts | Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/3e0f11b88924f99e71aecd48.webp"
"sbi-junior-associate","SBI Junior Associate","active","Sarkari","Arts | Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/3e0f11b88924f99e71aecd48.webp"
"sbi-po","SBI PO","active","Sarkari","Banking | Government","Government Recruitment","UG | 12th | 10th","1","official_source_reviewed","/exam-logos/official-v1/3e0f11b88924f99e71aecd48.webp"
